Shields stress,slope,median grain size (m),flow depth (m),density (kg/m3),observation method,used in this study,citation
0.090,0.173,0.015,0.0129,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.17"
0.117,0.204,0.015,0.0142,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.18"
0.101,0.219,0.015,0.0115,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.19"
0.106,0.24,0.015,0.0110,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.20"
0.124,0.279,0.015,0.0110,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.21"
0.129,0.213,0.023,0.023,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.149,0.231,0.023,0.0245,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.154,0.249,0.023,0.0235,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.169,0.268,0.023,0.024,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.159,0.287,0.023,0.021,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.173,0.306,0.023,0.0215,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.137,0.325,0.023,0.016,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.168,0.344,0.023,0.0185,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.115,0.364,0.023,0.012,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.153,0.213,0.029,0.0345,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.128,0.231,0.029,0.0265,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.122,0.249,0.029,0.0235,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.115,0.268,0.029,0.0205,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.126,0.287,0.029,0.021,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.118,0.306,0.029,0.0185,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.122,0.325,0.029,0.018,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.115,0.344,0.029,0.016,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.122,0.364,0.029,0.016,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.131,0.213,0.034,0.0345,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.109,0.231,0.034,0.0265,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.104,0.249,0.034,0.0235,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.098,0.268,0.034,0.0205,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.107,0.287,0.034,0.021,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.101,0.306,0.034,0.0185,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.104,0.325,0.034,0.018,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.098,0.344,0.034,0.016,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.104,0.364,0.034,0.016,2650,None,no,"Gregoretti, C. (2008). Inception sediment transport relationships at high slopes. Journal of Hydraulic Engineering, 134(11), 1620-1629."
0.034,0.0258,0.064,0.1493,2747,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.040,0.0325,0.064,0.1387,2747,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.046,0.0375,0.064,0.1367,2747,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.038,0.0292,0.064,0.1439,2747,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.063,0.0475,0.064,0.1482,2747,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.070,0.0566,0.064,0.1388,2747,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.045,0.0308,0.064,0.1635,2747,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.050,0.0508,0.064,0.1205,2917,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.023,0.0204,0.064,0.1391,2917,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.039,0.04,0.064,0.1207,2917,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.027,0.0242,0.064,0.1391,2917,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.027,0.0208,0.064,0.1572,2917,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.033,0.0233,0.064,0.1732,2917,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.023,0.0142,0.064,0.1958,2917,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.030,0.02,0.064,0.1811,2917,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.049,0.0508,0.064,0.1201,2927,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.046,0.0475,0.064,0.1206,2927,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.026,0.0233,0.064,0.139,2927,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.037,0.0316,0.064,0.1434,2927,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.029,0.0225,0.064,0.16,2927,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.036,0.0275,0.064,0.1602,2927,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.050,0.0417,0.064,0.1486,2927,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.027,0.0192,0.064,0.1725,2927,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.032,0.0216,0.064,0.1833,2927,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.044,0.0325,0.064,0.1334,2527,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.026,0.0175,0.064,0.1467,2527,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.029,0.0192,0.064,0.1475,2527,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.023,0.0142,0.064,0.1567,2527,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.028,0.0167,0.064,0.1628,2527,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.028,0.0167,0.064,0.1627,2527,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.029,0.0167,0.064,0.1679,2527,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.018,0.0092,0.064,0.1901,2527,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.029,0.0167,0.064,0.1709,2527,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.026,0.0142,0.064,0.1789,2527,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.029,0.015,0.064,0.1905,2527,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.041,0.0208,0.064,0.1822,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.060,0.0342,0.064,0.1615,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.076,0.0542,0.064,0.1289,2428,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.076,0.0542,0.064,0.1288,2428,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.041,0.0275,0.064,0.1351,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.040,0.0258,0.064,0.1419,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.065,0.0433,0.064,0.1361,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.038,0.0225,0.064,0.1529,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.045,0.0267,0.064,0.1552,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.052,0.0316,0.064,0.1502,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.032,0.0175,0.064,0.1667,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.052,0.04,0.055,0.117,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.049,0.035,0.055,0.1278,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.047,0.0325,0.055,0.1302,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.038,0.0208,0.055,0.1675,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.033,0.0175,0.055,0.1686,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.040,0.0221,0.055,0.1655,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.041,0.0225,0.055,0.1649,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.046,0.0263,0.055,0.16,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.044,0.0238,0.055,0.1657,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.037,0.019,0.055,0.1761,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.032,0.016,0.055,0.1785,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.025,0.012,0.055,0.187,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.043,0.024,0.055,0.164,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.052,0.0315,0.055,0.1494,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.062,0.0375,0.055,0.149,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.032,0.015,0.055,0.1925,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.034,0.0163,0.055,0.1913,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.026,0.0113,0.055,0.2055,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.037,0.0175,0.055,0.1895,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.052,0.0275,0.055,0.1698,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.051,0.029,0.055,0.1607,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.049,0.0462,0.037,0.064,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.026,0.019,0.037,0.0834,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.039,0.0335,0.037,0.0708,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.059,0.059,0.037,0.0614,2647,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.023,0.01,0.037,0.1409,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.022,0.01,0.037,0.1368,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.029,0.014,0.037,0.127,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.029,0.0138,0.037,0.1259,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.044,0.0247,0.037,0.1095,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.031,0.013,0.037,0.1433,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.016,0.006,0.037,0.1579,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.020,0.008,0.037,0.1542,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.019,0.0075,0.037,0.1568,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
